:stock_price,:stock_dividend_rate,:federal_reserve_interest_rate,:option_expires_in_days,:option_strike,:option_price,:iv,:delta,:gamma,:vega,:rho,:theta,:delta_vs_theta,:annualized_premium_value,:premium_value,:time_value,:annualized_time_value,:break_even
4.05,0,0,50,0.5,3.5,,,,,,,,1488.23,3.55,,,
4.05,0,0,50,1,3,,,,,,,,992.15,3.05,,,
4.05,0,0,50,1.5,2.5,,,,,,,,701.97,2.55,,,
4.05,0,0,50,2,2.03,,,,,,,,501.42,2.05,,,
4.05,0,0,50,2.5,1.54,,,,,,,,343.5,1.55,,,
4.05,0,0,50,3,1.08,60.9,3.5,0.7,0.12,0.34,-0.12,-28.62,220.06,1.05,0.04,8.3,43.98
4.05,0,0,50,3.5,0.69,62.9,4.5,1.7,0.42,0.49,-0.41,-10.92,128.78,0.55,0.15,29.05,39.47
4.05,0,0,50,4,0.4,63,5.7,3,0.94,0.66,-0.92,-6.23,68.21,0.05,0.36,60.85,31.75
4.05,0,0,50,4.5,0.21,62.4,7.1,4.4,1.69,0.85,-1.66,-4.26,32.64,,0.21,32.64,22.11
4.05,0,0,50,5,0.11,64.1,8.2,5.6,2.63,1,-2.58,-3.18,15.57,,0.11,15.57,13.68
4.05,0,0,50,5.5,0.06,66.3,8.9,6.5,3.58,1.11,-3.51,-2.54,7.77,,0.06,7.77,7.97
