:stock_price,:stock_dividend_rate,:federal_reserve_interest_rate,:option_expires_in_days,:option_strike,:option_price,:iv,:delta,:gamma,:vega,:rho,:theta,:delta_vs_theta,:annualized_premium_value,:premium_value,:time_value,:annualized_time_value,:break_even
4.05,0,0,50,0.5,0,,,,,,,,,,,,
4.05,0,0,50,1,0,,,,,,,,,,,,
4.05,0,0,50,1.5,0,,,,,,,,,,,,
4.05,0,0,50,2,0,,,,,,,,,,,,
4.05,0,0,50,2.5,0.02,78.9,-7.6,-7.4,4.88,-1.2,-4.78,1.59,5.7,,0.02,5.7,6.52
4.05,0,0,50,3,0.06,71.1,-7,-6.5,3.24,-1.12,-3.17,2.21,14.17,,0.06,14.17,14.26
4.05,0,0,50,3.5,0.16,66.2,-6,-5.2,1.94,-0.98,-1.9,3.18,31.99,,0.16,31.99,25.75
4.05,0,0,50,4,0.37,65.5,-4.7,-3.7,1.05,-0.8,-1.03,4.59,63.32,,0.37,63.32,37.46
4.05,0,0,50,4.5,0.69,67.5,-3.6,-2.5,0.57,-0.65,-0.55,6.53,102.1,0.46,0.24,36.43,45.58
4.05,0,0,50,5,1.08,67.4,-2.9,-1.6,0.29,-0.54,-0.29,10.01,139.96,0.96,0.13,17.67,50.04
4.05,0,0,50,5.5,1.49,57.9,-2.5,-0.9,0.1,-0.48,-0.1,25.34,171.57,1.46,0.04,4.54,52.7
